tag_id,tag_print,tag,games_with_this_tag,votes_for_this_tag,tag_weight,price_median,undersore_median,owners_median,playtime_median
127,Detective,detective,96,"5,663",59,$9.99 ,85%,"2,260,000",3:04
301,Mini Golf,mini_golf,11,647,59,$8.99 ,81%,"4,520,000",3:05
92,Colorful,colorful,153,"9,004",59,$7.99 ,87%,"2,260,000",3:08
83,Short,short,168,"9,979",59,$4.99 ,84%,"3,160,000",2:23
182,Real Time Tactics,real_time_tactics,46,"2,672",58,$7.99 ,87%,"3,620,000",5:33
12,2D,2d,997,"57,478",58,$6.99 ,86%,"2,260,000",3:00
267,Thriller,thriller,20,"1,136",57,$4.99 ,92%,"1,360,000",3:30
226,Gothic,gothic,30,"1,678",56,$9.99 ,81%,"2,490,000",2:24
261,Software,software,21,"1,181",56,$9.99 ,84%,"2,260,000",7:36
297,Modern,modern,12,672,56,$9.99 ,75%,"6,330,000",7:44
84,Relaxing,relaxing,163,"9,081",56,$3.99 ,81%,"1,810,000",2:14
110,Beat 'em up,beat_'em_up,120,"6,651",55,$13.49 ,82.50%,"4,070,000",4:10
222,Cold War,cold_war,31,"1,705",55,$9.99 ,85%,"2,030,000",3:17
44,Point & Click,point_&_click,368,"20,413",55,$6.99 ,84%,"1,810,000",2:32
150,Choose Your Own Adventure,choose_your_own_adventure,72,"3,965",55,$4.99 ,86.50%,"2,490,000",5:05
86,Isometric,isometric,161,"8,681",54,$9.99 ,82%,"3,160,000",3:20
169,Lovecraftian,lovecraftian,52,"2,782",54,$9.99 ,84.50%,"2,260,000",1:56
282,Nonlinear,nonlinear,15,811,54,$6.99 ,84%,"1,360,000",2:53
1,Indie,indie,5182,"278,484",54,$4.99 ,79%,"1,360,000",2:35
173,Stylized,stylized,51,"2,752",54,$4.99 ,87.50%,"1,580,000",4:20
143,Kickstarter,kickstarter,77,"4,070",53,$15.99 ,82%,"3,620,000",3:56
308,Golf,golf,10,532,53,$8.99 ,64%,"3,620,000",2:19
34,Violent,violent,522,"27,869",53,$5.49 ,75.50%,"2,260,000",3:19
224,Psychedelic,psychedelic,31,"1,614",52,$4.99 ,85%,"1,810,000",2:55
130,Education,education,95,"4,812",51,$9.99 ,80.50%,"2,710,000",4:03
132,Surreal,surreal,90,"4,586",51,$9.99 ,85.50%,"2,710,000",2:45
144,Level Editor,level_editor,76,"3,875",51,$9.99 ,87%,"3,620,000",2:38
170,Mechs,mechs,51,"2,604",51,$9.99 ,82%,"2,710,000",4:14
91,Top-Down,top_down,155,"7,815",50,$9.99 ,84%,"3,620,000",3:18
250,Bullet Time,bullet_time,23,"1,156",50,$9.99 ,86%,"4,070,000",3:04
229,Parody,parody,29,"1,436",50,$4.99 ,87%,"3,620,000",3:01
161,Real-Time,real_time,59,"2,904",49,$9.99 ,82%,"4,520,000",4:31
195,Split Screen,split_screen,41,"2,027",49,$9.99 ,85%,"4,520,000",3:58
285,NSFW,nsfw,14,687,49,$9.99 ,88%,"1,360,000",1:22
123,Card Game,card_game,101,"4,934",49,$0.79 ,76%,"1,580,000",2:41
288,Typing,typing,14,672,48,$9.99 ,86%,"3,390,000",3:17
162,Arena Shooter,arena_shooter,58,"2,791",48,$4.99 ,84%,"3,160,000",1:13
223,Party-Based RPG,party_based_rpg,31,"1,472",47,$17.49 ,82%,"2,710,000",3:05
175,CRPG,crpg,50,"2,331",47,$14.99 ,86%,"1,360,000",2:50
189,3D Vision,3d_vision,43,"2,013",47,$12.49 ,85%,"8,590,000",3:49
290,Mining,mining,13,610,47,$9.99 ,77%,"1,810,000",7:42
234,Politics,politics,28,"1,305",47,$8.99 ,77%,"900,000",4:14
13,Puzzle,puzzle,922,"43,302",47,$4.99 ,84%,"1,810,000",2:34
56,Family Friendly,family_friendly,272,"12,760",47,$4.99 ,85%,"2,710,000",3:04
215,Trading Card Game,trading_card_game,32,"1,493",47,$0 ,72%,"1,810,000",2:43
264,Villain Protagonist,villain_protagonist,20,926,46,$9.99 ,86%,"2,710,000",4:14
165,Hand-drawn,hand_drawn,55,"2,537",46,$8.99 ,87%,"3,620,000",3:22
48,Sports,sports,346,"15,921",46,$7.49 ,75%,"1,360,000",2:13
235,Crowdfunded,crowdfunded,28,"1,260",45,$14.99 ,83%,"4,070,000",4:41
108,Turn-Based Combat,turn_based_combat,121,"5,348",44,$10.49 ,81%,"1,360,000",3:11
59,Local Multiplayer,local_multiplayer,260,"11,427",44,$9.99 ,85%,"3,160,000",3:03
129,Turn-Based Tactics,turn_based_tactics,96,"4,255",44,$9.99 ,82%,"1,810,000",3:45
265,Time Attack,time_attack,20,879,44,$9.99 ,88%,"3,160,000",1:50
302,Music-Based Procedural Generation,music_based_procedural_generation,11,485,44,$7.99 ,81%,"900,000",1:45
148,1990's,1990's,73,"3,237",44,$5.99 ,90%,"3,160,000",0:38
244,Game Development,game_development,24,"1,032",43,$8.49 ,88%,"900,000",0:02
66,Side Scroller,side_scroller,216,"9,175",42,$9.99 ,86%,"2,710,000",3:04
80,Rogue-lite,rogue_lite,181,"7,533",42,$9.99 ,83%,"1,810,000",3:37
154,3D Platformer,3d_platformer,67,"2,836",42,$7.99 ,81.50%,"2,260,000",3:22
295,Asynchronous Multiplayer,asynchronous_multiplayer,13,539,41,$9.99 ,69%,"900,000",2:18
124,Action-Adventure,action_adventure,101,"4,185",41,$4.99 ,83%,"4,520,000",3:51
277,Mars,mars,16,642,40,$14.99 ,69%,"4,520,000",2:52
152,Utilities,utilities,69,"2,739",40,$4.99 ,76%,"1,360,000",1:58
336,Underground,underground,2,77,39,$9.99 ,71.50%,"450,000",185:04:00
126,Top-Down Shooter,top_down_shooter,99,"3,851",39,$6.99 ,84%,"3,160,000",3:23
145,Board Game,board_game,75,"2,827",38,$9.99 ,71%,"1,810,000",4:29
286,Chess,chess,14,530,38,$7.99 ,69%,"3,620,000",3:22
291,Philisophical,philisophical,13,494,38,$7.99 ,88%,"1,810,000",4:30
36,Retro,retro,459,"17,448",38,$4.99 ,85%,"1,810,000",2:08
106,4 Player Local,4_player_local,126,"4,635",37,$9.99 ,84%,"1,810,000",2:48
5,Casual,casual,2474,"91,437",37,$3.99 ,77%,"1,360,000",2:17
268,Software Training,software_training,19,697,37,$3.99 ,72.50%,"900,000",0:23
221,Mouse only,mouse_only,32,"1,183",37,$2.74 ,83.50%,"1,810,000",3:07
60,Controller,controller,256,"9,189",36,$9.99 ,85%,"5,420,000",3:11
186,Interactive Fiction,interactive_fiction,44,"1,562",36,$2.99 ,82%,"1,360,000",3:16
320,Wrestling,wrestling,6,209,35,$24.99 ,58%,"450,000",2:13
330,Bikes,bikes,3,105,35,$11.99 ,86%,"900,000",11:42
